restaurant_name,city,rating,rating_count
Mehfil,"Himayath Nagar,Hyderabad",3.9,10000.0
Have More Restaurant,"Begumpet,Hyderabad",3.6,10000.0
Mehfil,"Kothapet & Dilsukhnagar,Hyderabad",3.7,10000.0
Capital Multi Cuisine Restaurant,"Kothapet & Dilsukhnagar,Hyderabad",3.7,10000.0
Lucky Restaurant,"Kothapet & Dilsukhnagar,Hyderabad",3.5,10000.0
Grand Hotel,"Abids & Koti,Hyderabad",4.1,10000.0
Spicy Restaurant,"Banjara Hills,Hyderabad",3.7,10000.0
Meridian Restaurant,"Banjara Hills,Hyderabad",4.0,10000.0
Mehfil,"Madhapur,Hyderabad",3.9,10000.0
Mujtaba Grill,"Kharkhana & Trimulgherry,Hyderabad",3.6,10000.0
Lucky Restaurant,"Santoshnagar & Saidabad,Hyderabad",3.7,10000.0
Mehfil,"Nizampet & Pragathi Nagar,Hyderabad",3.8,10000.0
Shah Ghouse Cafe & Restaurant,"Tolichowki,Hyderabad",4.0,10000.0
Mehfil,"Attapur,Hyderabad",4.0,10000.0
Eaters Stop,"Dwarka Nagar,Vizag",4.0,10000.0
R K Food Plaza,Amritsar,4.3,5000.0
Truffles,"Koramangala,Bangalore",4.4,5000.0
Meghana Foods,"Koramangala,Bangalore",4.3,5000.0
Truffles,"JP Nagar,Bangalore",4.4,5000.0
Truffles,"Mahadevpura,Bangalore",4.4,5000.0
