restaurant_name,city,rating,rating_count,cost
NIC Natural Ice Creams,"Whitefield,Bangalore",4.7,1000.0,120.0
Corner House Ice Cream,"Frazer Town,Bangalore",4.7,1000.0,250.0
Vijay Dairy,"Panchkula,Chandigarh",4.7,1000.0,200.0
The Grand Sweets and Snacks - Amirtham Restaurant,"OMR Perungudi,Chennai",4.7,1000.0,400.0
The Grand Sweets and Snacks - Amirtham Restaurant,"Mogappair,Chennai",4.7,1000.0,400.0
The Grand Sweets and Snacks - Amirtham Restaurant,"Adyar,Chennai",4.7,1000.0,400.0
Behrouz Biryani - Royal & Safe,"Laxmi Nagar,Delhi",4.7,1000.0,500.0
Mithai,"Central Kolkata,Kolkata",4.7,1000.0,150.0
Kamdhenu's Sweets,"Garia,Kolkata",4.7,1000.0,150.0
NIC Natural Ice Creams,"Behala,Kolkata",4.7,1000.0,120.0
NIC Natural Ice Creams,"Lake Town,Kolkata",4.7,1000.0,120.0
NIC Natural Ice Creams,"Jadavpur,Kolkata",4.7,1000.0,120.0
New kalpana mistanna bhander,"Jadavpur,Kolkata",4.7,1000.0,200.0
NIC Natural Ice Creams,"Hatibagan,Kolkata",4.7,1000.0,120.0
Bombay Salad Co,"Bandra West,Mumbai",4.7,1000.0,900.0
Shree Mithai,"Adyar,Chennai",4.6,5000.0,250.0
Mumbai Tiffin,"HSR,Bangalore",4.6,1000.0,400.0
Corner House Ice Cream,"HSR,Bangalore",4.6,1000.0,250.0
Magnolia Bakery,"Indiranagar,Bangalore",4.6,1000.0,500.0
Corner House Ice Cream,"Indiranagar,Bangalore",4.6,1000.0,250.0
